x,y
1,15
2,9
3,11
4,18
5,20
6,23
7,25
8,27
9,39
10,40
11,36
12,47
13,47
14,44
15,47
16,51
17,56
18,59
19,67
20,71
21,65
22,76
23,74
24,84
25,85
26,86
27,86
28,93
29,98
30,96
31,95
32,100
33,107
34,109
35,111
36,112
37,116
38,121
39,120
40,123
41,131
42,129
43,136
44,139
45,146
46,144
47,143
48,153
49,157
50,153
51,161
52,159
53,169
54,168
55,177
56,179
57,178
58,185
59,182
60,183
61,185
62,198
63,194
64,198
65,198
66,203
67,204
68,212
69,213
70,219
71,225
72,223
73,223
74,229
75,232
76,233
77,243
78,240
79,249
80,252
81,246
82,257
83,261
84,256
85,265
86,263
87,265
88,273
89,275
90,276
91,285
92,286
93,284
94,294
95,292
96,290
97,296
98,296
99,304
100,308
